state,date,donations,pledges
Johor,2015,73824,5980
Johor,2016,61202,4397
Johor,2017,69097,4269
Johor,2018,73368,3074
Johor,2019,82521,3037
Johor,2020,81407,1048
Johor,2021,80814,1076
Johor,2022,85664,6357
Johor,2023,87411,3553
Johor,2024,91528,2046
Johor,2025,93346,2017
Perak,2015,79606,3724
Perak,2016,83696,2676
Perak,2017,83950,3195
Perak,2018,88123,1182
Perak,2019,82064,697
Perak,2020,80172,124
Perak,2021,86301,422
Perak,2022,92993,4555
Perak,2023,93837,2159
Perak,2024,92895,1203
Perak,2025,93239,1453
Sabah,2015,47562,2871
Sabah,2016,58538,2940
Sabah,2017,67534,2072
Sabah,2018,67700,2308
Sabah,2019,72312,168
Sabah,2020,68138,155
Sabah,2021,62420,268
Sabah,2022,71060,2228
Sabah,2023,79650,1509
Sabah,2024,80546,779
Sabah,2025,77611,1240
Sarawak,2015,74956,1730
Sarawak,2016,71930,1800
Sarawak,2017,73234,975
Sarawak,2018,74580,461
Sarawak,2019,75134,875
Sarawak,2020,67920,79
Sarawak,2021,71566,269
Sarawak,2022,80256,2037
Sarawak,2023,83186,1464
Sarawak,2024,83721,959
Sarawak,2025,84491,1043
Selangor,2015,50419,10078
Selangor,2016,49971,7999
Selangor,2017,52031,6573
Selangor,2018,53863,4896
Selangor,2019,56129,3625
Selangor,2020,58466,739
Selangor,2021,52185,1928
Selangor,2022,58624,15917
Selangor,2023,60264,8161
Selangor,2024,64302,4157
Selangor,2025,65089,4569
W.P. Kuala Lumpur,2015,367711,5926
W.P. Kuala Lumpur,2016,360076,4369
W.P. Kuala Lumpur,2017,361195,3813
W.P. Kuala Lumpur,2018,388040,2963
W.P. Kuala Lumpur,2019,397000,2084
W.P. Kuala Lumpur,2020,339871,440
W.P. Kuala Lumpur,2021,347922,1147
W.P. Kuala Lumpur,2022,404809,6656
W.P. Kuala Lumpur,2023,412561,3123
W.P. Kuala Lumpur,2024,413698,1430
W.P. Kuala Lumpur,2025,414151,1536
